DESCRIPCION;MARCA;MODELO
GRASA LUBRICANTE MULTIPROPOSITO DE SERVICIO PESADO AUTOMOTRIZ PUMA LITHIUM EP 2 EN 84 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000151.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ PUMA LITHCOM MOLY EP2 EN 48 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000141.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES PUMA LITHIUM EP2 EN 4 BARRILES DE 400LBS CADA UNA,                           CODIGO :5000149.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ PUMA LITHCOM MOLY EP2 EN 4 BARRILES DE 400LBS CADA UNA, CODIGO :5000139.;PUMA;S/M
GRASA NEVASTANE HD2T TUBO 0.4KG, 2 CAJAS, 24 UNIDADES POR CAJA, PARTE NUMERO 174547, TOTAL LITROS : 19.20 LTS;TOTALENERGIES;S-M
ACEITE LUBRICANTE X20210209372598 (5,895.74 GALONES EN 1 FLEXITANQUE);SUPER S;SM
GRASA #2 CUBETA DE 15KG;S-OIL;#2
GRASA SUPER S MULTI-PROPOSITO ROJO LITHIUM # 2 12/1 1 LIBRA;SUPER S;LITHIUM # 2
TUBO GRASA 125GR OM - CAJA DE 24 UNIDADES;OLEO-MAC;001000677B
ACEITE 75140 (1 CUBETA) DE 5 GALONES - GEAR OIL;NAPA;NOL75215
"N.P. PA5 / O.C. 4501861789 / FACT: AW02-3212; 210";JXTG NIPPON OIL & ENERGY;SM
"1 CUBETA DE 16 KGS / O.C. 4501924057 / FACT: FS-7293; 298";ROSHFRANS;B.A.T.-3
"GRASA LUBRICANTE; M920001680";S/M;S/M
ACEITE MINERAL PARA ALTAS TEMPERATURAS UTILIZADO EN SISTEMA DE LUBRICACION INDUSTRIAL RENOLIN FR C 46-55GL DRUM;FUCHS;80019800062
GRASA MINERAL PARA LUBRICACION DE RODAMIENTOS DE MOTORES SUGAR GLIDE 720-400 LB NUMERO DE PART: 0100691837/ 016;FUCHS;65391700040
BLOQUES DE GRASA SOLIDA FORMA DE LADRILLOS BRICK GREASE 7-50LB BRICK 12/CAJA BRICK GREASE 7;FUCHS;80257400120
ACEITE  LUBRICANTE ADHESIVO PULVERIZABLE DE ALTA VISCOSIDAD PARA TRANSMISIONES DE ENGRANAJES ABIERTOS, LIBRE DE METALES PESADOS ¿¿Y CLORO  CEPLATTYN KG 10 HMF 2500-400LB;FUCHS;65101701040
ACEITE LUBRICANTE ADHESIVO PULVERIZABLE Y ALTAMENTE VISCOSO PARA ENGRANAJES ABIERTOS, LIBRE DE METALES PESADOS ¿¿Y CLORO, CEPLATTYN KG 10 LC-374LB DRUM;FUCHS;65101801040
GRASA DE EXTREMA PRESIÓN DE ALTO RENDIMIENTO PARA COJINETES DE DESLIZAMIENTO EN INGENIOS AZUCAREROS CASSIDA FM COMPOUND SG 720-400 LB DRUM;FUCHS;65368500040
